id,sid,theta,k,c
228,227,1.3808696,0.4935943,1.0005404
229,228,0.7310506,0.5048452,1.0023053
230,229,-0.1905763,0.49897718,0.99904126
231,230,-1.4897585,0.5027576,0.9990935
232,231,0.26385972,0.49612594,1.0012958
233,232,2.3381853,0.49943426,1.0002468
234,233,-0.27590927,0.50678754,1.0011035
235,234,-1.7996131,0.5030734,0.9993892
236,235,-0.11306215,0.4994351,0.999937
237,236,-1.2758722,0.50321484,1.0006453
238,237,-1.1749636,0.49875444,1.0004374
239,238,-0.07514648,0.49414214,1.0016258
240,239,-0.55282444,0.50617737,1.0040717
241,240,0.9589234,0.5005447,0.99959826
242,241,1.6322039,0.503527,1.0003562
243,242,0.39200872,0.4947263,1.0006993
244,243,0.7595439,0.49537888,1.0009934
245,244,-1.4155884,0.50284064,1.0005908
246,245,-0.970868,0.50283766,1.0004051
247,246,0.14347748,0.49812976,1.0007418
248,247,-0.5081707,0.4945419,1.001575
249,248,0.6254058,0.5069878,1.0006886
250,249,0.06140438,0.5022826,0.9985289
251,250,-1.71532,0.4986805,0.9997463
252,251,-0.615698,0.49755633,0.99979
253,252,0.7567206,0.5012952,1.0002031
254,253,-1.5050147,0.49509382,1.0016497
255,254,1.1925195,0.4978394,1.0001097
256,255,0.94782335,0.5026976,0.9997125
257,256,0.49195963,0.49373686,0.9985234
258,257,-0.31903592,0.49816844,0.99950916
259,258,1.7249726,0.4950193,1.0003556
260,259,0.31087726,0.4876952,1.0013611
261,260,-1.0107591,0.49810684,1.0018116
262,261,-0.27510813,0.498542,0.99780226
263,262,-0.18351704,0.49560508,1.0003018
264,263,1.0616609,0.49838418,1.0017877
265,264,-0.51687706,0.50789165,0.99938154
266,265,1.3228499,0.49692133,0.9992169
267,266,-0.110519215,0.4968738,1.0012199
268,267,-1.4644182,0.5017743,0.9996649
269,268,0.32112774,0.50386477,1.000436
270,269,0.012944531,0.5026205,1.0008473
271,270,1.4678241,0.5023499,0.99936545
272,271,0.7411994,0.4989575,1.0008439
273,272,-0.6077484,0.5012292,0.9993872
274,273,0.44940874,0.49555486,1.0014393
275,274,-0.41841927,0.5036463,1.0004389
276,275,-0.49176508,0.49565062,0.9991464
277,276,0.9343972,0.5009762,0.99895245
278,277,1.0847318,0.50218123,1.0001272
279,278,1.0182348,0.49964994,0.99917954
280,279,0.37000954,0.5001249,1.0007007
281,280,1.1318449,0.5008538,0.9992651
282,281,0.16615856,0.4947047,1.0001459
283,282,-0.13674907,0.5015702,1.0006126
284,283,-0.76134443,0.49584088,0.9996711
285,284,0.67969966,0.5070594,1.0030814
286,285,-0.7048831,0.4992605,0.99868697
287,286,-0.85096174,0.49305704,1.0001191
288,287,0.8551273,0.5005958,0.99779093
289,288,0.44244364,0.50530136,1.0032353
290,289,1.9673718,0.50103045,1.0025936
291,290,-1.481322,0.49852884,0.9996275
292,291,-0.7645879,0.50023425,0.9989855
293,292,-0.8035232,0.4922938,1.0004464
294,293,-0.6136957,0.5049395,1.0004125
295,294,-1.5656723,0.50261354,1.0007211
296,295,-0.33822572,0.49654713,1.0005348
297,296,0.8388748,0.5007615,1.0016841
298,297,0.026191838,0.4945921,1.0005262
299,298,0.2747785,0.500685,1.0002873
300,299,0.25739613,0.4933303,1.0005167
301,300,0.3400578,0.4954029,1.001364
302,301,0.76976275,0.49768296,0.99836254
303,302,-0.302148,0.49678773,0.99714756
304,303,0.6772746,0.4988479,0.99727166
305,304,-0.3129238,0.50099367,1.0015279
306,305,0.04221483,0.49837667,0.99937314
307,306,-1.9554793,0.5037866,1.0002311
308,307,-1.7260221,0.503518,1.0006155
