id,sid,theta,k,c
223,222,-0.3000703,0.5049167,0.99950784
224,223,-0.50519764,0.50334245,1.0036387
225,224,0.6040497,0.499059,1.0014678
226,225,-0.78971916,0.5025332,0.9980328
227,226,1.0644413,0.49378124,1.0007684
228,227,0.9831941,0.49367964,1.0001239
229,228,0.15521032,0.4957988,0.99973154
230,229,-0.093477495,0.5063342,0.9987208
231,230,-1.2581844,0.50479186,1.0015675
232,231,0.8933479,0.49649924,0.99964637
233,232,2.3504095,0.49251318,1.0003126
234,233,0.42806232,0.49724343,0.9980181
235,234,-1.4032407,0.5079064,1.0010499
236,235,0.3009245,0.50539845,0.9978704
237,236,-0.88704485,0.5003253,1.0003989
238,237,-1.1919104,0.500188,1.0014817
239,238,-0.06719975,0.5050021,0.99949545
240,239,-0.721189,0.49836588,1.0020071
241,240,1.2592078,0.4967069,1.0026999
242,241,0.66829026,0.5012505,0.998002
243,242,0.43882963,0.4997751,0.99964833
244,243,0.74991816,0.4946278,1.0007468
245,244,-0.6591756,0.5069838,1.0001891
246,245,-0.22334725,0.50474304,1.0025605
247,246,0.75053847,0.49786812,0.99823964
248,247,-0.43372744,0.49528134,0.99908763
249,248,0.90021753,0.50219136,0.9984628
250,249,0.45684278,0.49932346,1.0008869
251,250,-0.5971409,0.5072533,1.0026087
252,251,-0.72900534,0.50089645,0.9991872
253,252,1.0701638,0.49408835,1.0003746
254,253,-0.9167253,0.5031426,1.0008982
255,254,0.99084526,0.49446505,0.99692386
256,255,0.31543487,0.5011606,1.0001907
257,256,0.31050676,0.49685192,1.0006554
258,257,-0.2668134,0.49572673,1.0007387
259,258,1.7398726,0.49758312,0.9997084
260,259,0.11570534,0.50404346,0.99985063
261,260,-0.09673659,0.49593475,1.0009416
262,261,-0.45638168,0.50141346,1.0000877
263,262,-0.7007032,0.50040114,1.0019628
264,263,0.64794683,0.5023662,1.0003992
265,264,-0.34320834,0.49115312,1.0019171
266,265,0.3523817,0.49473676,1.0005128
267,266,0.3525083,0.49194232,0.9991066
268,267,-1.6544013,0.50630796,0.9998298
269,268,0.3695333,0.49784383,1.0000877
270,269,0.04104497,0.49917367,1.0038357
271,270,1.0418674,0.4976599,1.0001355
272,271,0.6315078,0.49260384,1.0007647
273,272,-1.203395,0.5040638,1.001328
274,273,-0.50470203,0.5007491,1.0002356
275,274,-0.04170226,0.5027836,0.99846745
276,275,-0.16326751,0.50252587,0.99871844
277,276,0.8533039,0.49770725,1.0007511
278,277,0.6138035,0.50439316,0.9969654
279,278,0.23315667,0.5027237,1.0008241
280,279,0.3802057,0.50539684,0.99972594
281,280,1.793723,0.5030484,0.99897283
282,281,0.40706334,0.49978545,0.9979467
283,282,-0.29823586,0.4944565,1.0013053
284,283,-0.5718906,0.4950186,1.0008333
285,284,0.771528,0.5083402,1.0028648
286,285,-0.1367387,0.49647567,0.9967756
287,286,-0.7858572,0.50986654,1.0005156
288,287,0.8279739,0.49458155,1.0004624
289,288,0.4158681,0.50382155,1.0020258
290,289,1.9821202,0.49276295,0.9994437
291,290,-1.3812513,0.49938905,1.0008496
292,291,-0.24700536,0.5063759,1.0023137
293,292,-0.8848456,0.504882,0.9992128
294,293,-1.092561,0.5097332,0.9996677
295,294,-0.9288938,0.50611925,0.9988214
296,295,-0.40579203,0.4957233,1.0015113
297,296,0.903764,0.49231285,1.0012165
298,297,-0.03259895,0.49508923,0.9998625
299,298,0.6745712,0.5044657,0.99947894
300,299,0.28698993,0.4984212,1.0001333
301,300,0.33758444,0.4988663,0.9999494
302,301,0.8301206,0.4974248,1.0001996
303,302,0.06634707,0.50621295,1.002638
304,303,0.8883242,0.4940301,0.9993602
305,304,-0.43066248,0.50067675,0.9998706
306,305,0.12124235,0.4916572,1.0005518
307,306,-1.444626,0.5081812,0.9993789
308,307,-0.9277849,0.5112136,0.999932
309,308,-0.5182209,0.50399864,0.9985075
310,309,0.9979753,0.5059794,1.003638
311,310,1.5962518,0.4967207,0.99841374
312,311,-0.25721464,0.50400233,1.0014887
313,312,0.711181,0.49770135,1.002263
314,313,-0.98048055,0.50173277,1.0039605
315,314,-0.65824413,0.5043272,0.9991834
316,315,-1.1603687,0.50576955,1.0003147
317,316,-1.1834867,0.50767344,0.9971151
318,317,0.8324486,0.5014652,0.9987939
319,318,-0.9367222,0.5101871,1.0035676
320,319,-0.4259394,0.5085105,0.9991115
321,320,-0.8214522,0.5014426,0.9983069
322,321,1.0440507,0.49881676,0.9987707
323,322,-1.0594676,0.50675255,0.9996985
324,323,0.74589086,0.5085136,0.99799865
325,324,-0.8290985,0.49821067,1.0009484
326,325,0.27751797,0.49711356,0.99993646
327,326,-0.38670135,0.49640554,1.0012072
328,327,-0.12028397,0.49550018,0.9986399
329,328,-0.47309017,0.4981107,1.0027063
330,329,1.4797411,0.4955894,0.99899626
331,330,-0.5856371,0.4934988,0.99959743
332,331,0.8484778,0.49396095,1.0007188
333,332,0.6705928,0.49958912,1.0009105
334,333,1.8113977,0.50011975,1.0002222
335,334,0.65864444,0.49204013,1.0019152
336,335,0.15091233,0.49510437,1.0004203
337,336,0.41427785,0.4989541,1.0020521
338,337,0.83043903,0.5067316,1.004122
339,338,0.09376195,0.5059268,1.0000305
340,339,1.4647272,0.48785588,1.0020242
341,340,-0.15782154,0.50618005,1.0004145
342,341,0.22925104,0.4964362,1.003166
343,342,-0.4437518,0.49534267,0.9996116
344,343,-0.3364052,0.50350344,1.0007725
345,344,1.2690994,0.4844685,0.9976655
346,345,0.1832813,0.50221467,1.0013884
347,346,-0.24357054,0.50022954,0.9979813
348,347,-0.6499725,0.4947442,1.0012481
349,348,-0.5815856,0.4942409,0.99913996
350,349,-0.71057916,0.4959527,0.9991545
351,350,0.63294894,0.5046192,1.00079
352,351,-0.40704632,0.4956026,1.0012015
353,352,0.18506975,0.50177443,0.9980541
354,353,0.16864853,0.49868864,0.9991646
355,354,-0.22993843,0.5040341,0.99769014
356,355,0.2422244,0.50496364,0.9999816
357,356,0.49767628,0.5023644,0.9984987
358,357,0.297568,0.5005502,1.000557
359,358,0.5630408,0.49883407,1.0011586
360,359,1.3576808,0.4982464,1.0010257
361,360,-0.3667976,0.5050444,1.0036988
362,361,-0.61039126,0.5042999,0.9994675
363,362,1.3841525,0.49756473,1.0009136
364,363,0.2787805,0.50288785,1.0037358
365,364,1.2930917,0.49649882,1.0018288
366,365,0.41588184,0.49277925,1.0011479
367,366,0.11110505,0.49689838,1.0000697
368,367,0.21252692,0.5042987,1.0003301
369,368,0.88713324,0.50267994,0.99916136
370,369,0.24736187,0.4978157,0.9998992
371,370,-0.62466866,0.5072015,1.0007336
